anaoxygenic photosynthesis	A type of photosynthesis in green and purple bacteria in which oxygen is not produced
oxidative phosphorylation	The enzymatic phosphorylation of ADP to ATP coupled to electron transfer from a substrate to molecular oxygen.
ard	Acute respiratory disease.
bioluminescence	Biochemical production of light by cells.
evaporative cooling	Removal of heat by the evaporation of water
trans golgi network	The Golgi compartment within which proteins are sorted and packaged to exit the Golgi apparatus.
insertion	The movement of channel or transporter proteins from inactive intracellular locations into the membrane where they are active.
molecule	The smallest unit of matter of a substance that retains all the physical and chemical properties of that substance, consisting of a single atom or a group of atoms bonded together
iodine solution	red-brown liquid used to test for the presence of starch.
tertiary structure	In a protein or nucleic acid, the final folded form of the polymer chain.
salivary amylase	A salivary gland enzyme that hydrolyzes starch and glycogen.
lymphocyte	A type of white blood cell that is a crucial part of the immune system.
mean	Statistic that describes the center of a distribution of measurements; calculated by dividing the sum of all measurements by the number of measurements; also called the average.
lysin	An antibody that induces lysis.
euploidy	Variations that involve changes in the number of entire chromosome sets (n) (for example, 3n, 4n, 5n).
faculative anaerobes	An organism that makes ATP by aerobic respiration if oxygen is present but that switches to fermentation under anaerobic conditions.
hierarchy	A series in which each element is categorized into successive ranks or grades with each level subordinate to the one above.
decimorgan	/DES-ə-MORE-gən/ See: Morgan unit.
mitotic spindle	See mitotic apparatus.
acid	A compound that can donate a proton (H+)
organism	A living entity
proteolysis	Degradation of a protein by hydrolysis at one or more of its peptide bonds.
pregnancy	The condition of carrying one or more embryos in the uterus.
substitution mutation	A mutation caused by the replacement of one base by another.
fossil record	The chronicle of evolution over millions of years of geologic time engraved in the order in which fossils appear in rock strata
glucose	The major sugar in the body and a key molecule in energy metabolism.
post-translational modification	Covalent modification of proteins following translation, including glycosylation, phosphorylation, sulfation, acetylation, and ribosylation.
genetic marker	An observable characteristic useful for genetic analysis.
basal ganglia	In the vertebrate brain, a collection of cell groups in the ventral forebrain that organize motor behavior
game theory	A branch of economic theory devoted to modeling interactions between competing individuals or organizations
stomach	An organ of the digestive system that stores food and performs preliminary steps of digestion.
crepuscular	active or flying at dusk.
starch	A very long, branched polysaccharide, composed exclusively of glucose units, that is the primary storage carbohydrate in plant cells.
hyperthermophile	A prokaryote having a growth temperature optimum of 80 °C or higher.
leukotriene	A powerful inflammatory mediator
inbreeding	The mating of individuals that are closely related genetically.
recessive dystrophic epidermolysis bullosa	A blistering skin condition in which the filaments that anchor the epidermis to the underlying dermis are either absent or do not function
n-terminus	The end of the amino acid chain that makes up a protein that is terminated by an amino group (-NH2).
amino-terminal residue	The only amino acid residue in a polypeptide chain with a free a-amino group; defmes the amino terminus of the polypeptide.
indirect	applied to metamorphosis = complete.
ribonucleic acid	Polymer of nucleotides connected via a phosphate-ribose backbone, involved in protein synthesis.
mold	A rapidly growing fungus that reproduces asexually by producing spores.
enriched uranium	uranium that has a higher percent of U-235 than its natural abundance of about 0.7%
small intracellular mediator	see second messenger
parallel	along the same line and nearly equidistant.
irb	Institutional Review Board
nonsense mutation	A mutation that changes a sense codon into one which does not code for an amino acid.
chlamydospore	Thick-walled resting structure that forms from the cell wall of a fungal hypha; usually formed under conditions where the hypha is no longer able to function optimally.
aerobic	Referring to a cell, organism, or metabolic process that utilizes O2 or that can grow in the presence of O2.
