cable	A molding design resembling intertwined rape.
card	The sealed package containing storage chips or other devices with electrical connectors that make contact when inserted into a card slot on a camera, printer, computer, or other device.
voc	Volatile organic compounds, petroleum substances used as the vehicles for many printing inks.
knock out	Alternate term for Mask out.
modem	Acronym for modulator-demodulator, a device that converts digital signals to analog tones and vice versa so computers can communicate over telephone lines.
perforations	Precise regularly spaced holes punched throughout the length of a motion picture film to advance and position it in cameras, processing machines, and projectors
nanotribology	the study of friction at very small (atomic) scale
partner	Another company that participates in a sponsoring company's program.
movement	section of a complete work that has its own formal design and a degree of independence but is conceived as a part of the whole; usually separated from other movements by a pause
dummy layout	A detailed layout showing how the various typeset elements, illustrations, etc., will be arranged.
varnishing	A thin coating applied to printing to enhance appearance or protect the sheet.
corded ware culture	The Corded Ware culture or complex is the name given to a wave of people in the Neolithic period, originating from the Carpathian mountains and the area now called the Baltic States.
persistence	Continuation of existing conditions
transit	A surveying instrument used to measure vertical and horizontal angles and distances
bond	A grade of durable writing, printing and typing paper that has a standard size of 17x22 inches.
arawakan culture	The Arawaks are a modern Native American tribe of the Peruvian Amazon in South America.
contour	a line representing the outline of a figure or form.
digital video	Minimizes generation loss as information is recorded as a series of numbers
column rule	A vertical line separating stories or running between legs within a story.
handaxe	A large, teardrop-shaped stone tool bifacially flaked to a point at one end and a broader base at the other
african complex societies	Ancient African complex societies with an emphasis on state development south of the Sahara.  Topics include why these states developed, their participation in internal and international systems of exchange, technological developments, belief systems that supported power structures, and the reasons for their collapse.  Time period covered is from the rise of the ancient state of Egypt to the colonial period.
